timestamp,text,label
2025-09-24T11:43:00,I have a lot to do but managing okay.,neutral
2025-09-15T20:58:00,I feel hopeless about keeping up with workload.,negative
2025-09-05T09:10:00,"Studying today, average stress level.",neutral
2025-09-24T23:06:00,"Studying today, average stress level.",neutral
2025-09-11T09:21:00,I feel hopeless about keeping up with workload.,negative
2025-09-17T20:13:00,"I can't focus on studying, feeling anxious.",negative
2025-09-14T23:19:00,"Studying today, average stress level.",neutral
2025-09-04T10:06:00,Busy but coping with the schedule.,neutral
2025-09-13T11:12:00,"I did well on my last assignment, relieved.",positive
2025-09-11T20:22:00,Feeling okay — a bit tired.,neutral
2025-09-03T22:36:00,I feel hopeless about keeping up with workload.,negative
2025-09-18T13:28:00,I feel hopeless about keeping up with workload.,negative
2025-09-20T06:49:00,"Studying today, average stress level.",neutral
2025-09-10T15:52:00,"I did well on my last assignment, relieved.",positive
2025-09-22T12:25:00,Busy but coping with the schedule.,neutral
2025-09-01T17:12:00,"I can't focus on studying, feeling anxious.",negative
2025-09-07T20:11:00,"So stressed about my grades, can't sleep.",negative
2025-09-21T03:50:00,I'm overwhelmed with exams and assignments.,negative
2025-09-14T21:12:00,"I can't focus on studying, feeling anxious.",negative
2025-09-08T01:52:00,I have a lot to do but managing okay.,neutral
2025-09-23T16:41:00,Relaxed after a good study session.,positive
2025-09-09T19:39:00,I'm overwhelmed with exams and assignments.,negative
2025-09-08T20:52:00,"Studying today, average stress level.",neutral
2025-09-20T17:07:00,I feel hopeless about keeping up with workload.,negative
2025-09-16T23:41:00,I feel hopeless about keeping up with workload.,negative
2025-09-10T18:53:00,I feel hopeless about keeping up with workload.,negative
2025-09-02T06:21:00,Feeling okay — a bit tired.,neutral
2025-09-10T08:58:00,I feel hopeless about keeping up with workload.,negative
2025-09-07T16:24:00,I have a lot to do but managing okay.,neutral
2025-09-26T23:53:00,Busy but coping with the schedule.,neutral
2025-09-22T17:21:00,"So stressed about my grades, can't sleep.",negative
2025-09-08T09:24:00,Relaxed after a good study session.,positive
2025-09-17T18:31:00,Feeling prepared for the upcoming test.,positive
2025-09-12T06:15:00,"Studying today, average stress level.",neutral
2025-09-19T01:45:00,"Studying today, average stress level.",neutral
2025-09-17T09:52:00,I have a lot to do but managing okay.,neutral
2025-09-12T19:07:00,Feeling calm after planning my study schedule.,positive
2025-09-05T09:58:00,I feel hopeless about keeping up with workload.,negative
2025-09-23T10:47:00,Feeling calm after planning my study schedule.,positive
2025-09-26T05:06:00,Feeling okay — a bit tired.,neutral
2025-09-28T03:32:00,I feel hopeless about keeping up with workload.,negative
2025-09-10T10:59:00,Feeling okay — a bit tired.,neutral
2025-09-05T17:58:00,I feel hopeless about keeping up with workload.,negative
2025-09-13T14:15:00,Feeling okay — a bit tired.,neutral
2025-09-30T04:53:00,"Studying today, average stress level.",neutral
2025-09-06T13:23:00,I feel hopeless about keeping up with workload.,negative
2025-09-24T12:43:00,"So stressed about my grades, can't sleep.",negative
2025-09-28T08:51:00,"I did well on my last assignment, relieved.",positive
2025-09-13T23:04:00,"I can't focus on studying, feeling anxious.",negative
2025-09-24T16:43:00,"I did well on my last assignment, relieved.",positive
2025-09-20T03:52:00,"So stressed about my grades, can't sleep.",negative
2025-09-15T16:08:00,I'm overwhelmed with exams and assignments.,negative
2025-09-12T23:13:00,"I can't focus on studying, feeling anxious.",negative
2025-09-12T13:21:00,Busy but coping with the schedule.,neutral
2025-09-11T14:46:00,Feeling okay — a bit tired.,neutral
2025-09-08T21:01:00,I have a lot to do but managing okay.,neutral
2025-09-13T07:04:00,"So stressed about my grades, can't sleep.",negative
2025-09-26T00:26:00,Relaxed after a good study session.,positive
2025-09-08T10:35:00,I'm overwhelmed with exams and assignments.,negative
2025-09-25T06:18:00,Busy but coping with the schedule.,neutral
2025-09-08T17:05:00,Feeling calm after planning my study schedule.,positive
2025-09-28T17:58:00,"Studying today, average stress level.",neutral
2025-09-11T21:21:00,Busy but coping with the schedule.,neutral
2025-09-02T12:17:00,I'm overwhelmed with exams and assignments.,negative
2025-09-29T01:45:00,Busy but coping with the schedule.,neutral
2025-09-07T20:06:00,I have a lot to do but managing okay.,neutral
2025-09-14T18:51:00,Busy but coping with the schedule.,neutral
